team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,year
Richmond,7.0,12.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2018
West Coast,14.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2018
Collingwood,16.0,16.0,14.0,10.0,5.0,10.0,9.0,11.0,10.0,8.0,7.0,6.0,6.0,4.0,2.0,2.0,3.0,3.0,3.0,6.0,5.0,3.0,3.0,,2018
Hawthorn,3.0,4.0,8.0,4.0,7.0,4.0,4.0,5.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,5.0,4.0,4.0,4.0,,2018
Melbourne,10.0,6.0,4.0,12.0,14.0,12.0,10.0,6.0,3.0,3.0,3.0,5.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,7.0,7.0,5.0,,2018
Sydney,5.0,9.0,7.0,6.0,10.0,7.0,8.0,7.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,9.0,8.0,6.0,5.0,6.0,,2018
Greater Western Sydney,1.0,1.0,2.0,1.0,3.0,3.0,5.0,9.0,11.0,11.0,11.0,9.0,10.0,10.0,6.0,10.0,7.0,6.0,5.0,3.0,3.0,6.0,7.0,,2018
Geelong,9.0,10.0,12.0,8.0,6.0,9.0,6.0,3.0,8.0,6.0,5.0,4.0,5.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,,2018
North Melbourne,15.0,5.0,11.0,7.0,4.0,8.0,7.0,10.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,,2018
Port Adelaide,2.0,2.0,1.0,5.0,9.0,6.0,11.0,8.0,6.0,9.0,8.0,8.0,7.0,5.0,5.0,4.0,5.0,5.0,4.0,7.0,8.0,9.0,10.0,,2018
Essendon,8.0,11.0,13.0,11.0,13.0,14.0,15.0,15.0,14.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,,2018
Adelaide,11.0,7.0,3.0,9.0,8.0,5.0,3.0,4.0,4.0,7.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,,2018
Western Bulldogs,18.0,18.0,16.0,15.0,16.0,15.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,,2018
Fremantle,17.0,14.0,10.0,13.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,,2018
Brisbane Lions,13.0,15.0,17.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,,2018
St Kilda,6.0,13.0,15.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,,2018
Gold Coast,4.0,3.0,6.0,14.0,12.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,2018
Carlton,12.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,2018
Adelaide,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2017
Geelong,2.0,7.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,,2017
Richmond,3.0,3.0,2.0,3.0,3.0,4.0,6.0,7.0,7.0,5.0,4.0,4.0,6.0,6.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,,2017
Greater Western Sydney,18.0,9.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,,2017
Port Adelaide,5.0,1.0,4.0,7.0,6.0,5.0,7.0,4.0,6.0,8.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,,2017
Sydney,14.0,15.0,16.0,16.0,18.0,18.0,17.0,15.0,12.0,15.0,16.0,14.0,12.0,10.0,9.0,8.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,,2017
Essendon,7.0,6.0,7.0,11.0,8.0,10.0,12.0,11.0,10.0,11.0,12.0,7.0,8.0,11.0,11.0,10.0,10.0,8.0,10.0,8.0,10.0,8.0,7.0,,2017
West Coast,4.0,5.0,6.0,5.0,7.0,6.0,4.0,3.0,4.0,6.0,7.0,9.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,,2017
Melbourne,6.0,4.0,8.0,8.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,6.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,10.0,7.0,7.0,9.0,,2017
Western Bulldogs,8.0,8.0,9.0,6.0,5.0,7.0,5.0,8.0,8.0,4.0,6.0,8.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,7.0,9.0,11.0,10.0,,2017
St Kilda,13.0,13.0,10.0,10.0,11.0,9.0,8.0,6.0,9.0,10.0,11.0,12.0,10.0,8.0,8.0,7.0,9.0,11.0,11.0,11.0,11.0,10.0,11.0,,2017
Hawthorn,12.0,14.0,18.0,18.0,15.0,17.0,16.0,14.0,17.0,14.0,15.0,17.0,17.0,16.0,13.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,,2017
Collingwood,11.0,11.0,12.0,13.0,13.0,12.0,15.0,17.0,13.0,12.0,10.0,11.0,13.0,13.0,15.0,15.0,14.0,13.0,13.0,12.0,13.0,13.0,13.0,,2017
Fremantle,17.0,18.0,15.0,12.0,9.0,11.0,9.0,9.0,5.0,7.0,8.0,10.0,11.0,12.0,14.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,,2017
North Melbourne,15.0,12.0,17.0,17.0,17.0,15.0,14.0,16.0,14.0,13.0,13.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,17.0,15.0,,2017
Carlton,16.0,16.0,14.0,14.0,16.0,14.0,13.0,13.0,16.0,17.0,17.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,15.0,16.0,,2017
Gold Coast,10.0,17.0,11.0,9.0,12.0,13.0,11.0,12.0,15.0,16.0,14.0,13.0,14.0,14.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,,2017
Brisbane Lions,9.0,10.0,13.0,15.0,14.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,2017
Sydney,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,,2016
Geelong,5.0,6.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,6.0,7.0,4.0,4.0,5.0,4.0,3.0,2.0,,2016
Hawthorn,14.0,7.0,9.0,8.0,5.0,8.0,6.0,6.0,7.0,7.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,,2016
Greater Western Sydney,10.0,9.0,11.0,9.0,6.0,5.0,5.0,3.0,3.0,4.0,6.0,6.0,5.0,4.0,3.0,7.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,,2016
Adelaide,11.0,5.0,6.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,5.0,3.0,2.0,6.0,5.0,3.0,3.0,2.0,5.0,,2016
West Coast,4.0,8.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,8.0,8.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,,2016
Western Bulldogs,1.0,1.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,7.0,6.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,,2016
North Melbourne,8.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,2016
St Kilda,13.0,18.0,13.0,12.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,,2016
Port Adelaide,6.0,12.0,8.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,,2016
Melbourne,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,10.0,11.0,,2016
Collingwood,17.0,14.0,14.0,15.0,11.0,13.0,14.0,12.0,11.0,12.0,12.0,14.0,14.0,14.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,2016
Richmond,7.0,10.0,12.0,13.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,2016
Carlton,12.0,15.0,17.0,18.0,15.0,14.0,12.0,11.0,12.0,11.0,10.0,11.0,11.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,,2016
Gold Coast,3.0,3.0,2.0,5.0,7.0,10.0,11.0,13.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,,2016
Fremantle,18.0,17.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,2016
Brisbane Lions,15.0,16.0,18.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,2016
Essendon,16.0,13.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,2016
Fremantle,9.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2015
West Coast,11.0,7.0,10.0,8.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2015
Hawthorn,2.0,6.0,4.0,7.0,4.0,8.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2015
Sydney,5.0,2.0,2.0,4.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,2015
Richmond,3.0,9.0,5.0,9.0,11.0,13.0,10.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,,2015
Western Bulldogs,8.0,5.0,9.0,6.0,3.0,7.0,8.0,11.0,9.0,11.0,11.0,9.0,8.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,,2015
Adelaide,1.0,1.0,1.0,5.0,7.0,5.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,,2015
North Melbourne,18.0,10.0,11.0,10.0,12.0,9.0,9.0,12.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0,,2015
Port Adelaide,10.0,15.0,13.0,13.0,10.0,10.0,12.0,13.0,11.0,9.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,9.0,9.0,,2015
Geelong,17.0,18.0,15.0,16.0,14.0,12.0,13.0,10.0,12.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,,2015
Greater Western Sydney,7.0,3.0,7.0,2.0,8.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,9.0,9.0,8.0,7.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,,2015
Collingwood,6.0,12.0,6.0,3.0,2.0,3.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,,2015
Melbourne,4.0,13.0,12.0,12.0,13.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,,2015
St Kilda,12.0,8.0,14.0,15.0,16.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,,2015
Essendon,14.0,11.0,8.0,11.0,9.0,11.0,11.0,9.0,10.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,,2015
Gold Coast,15.0,14.0,16.0,17.0,15.0,16.0,17.0,17.0,17.0,18.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,,2015
Brisbane Lions,13.0,17.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,17.0,,2015
Carlton,16.0,16.0,17.0,14.0,17.0,17.0,18.0,18.0,18.0,17.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,17.0,17.0,18.0,,2015
Sydney,14.0,14.0,11.0,13.0,13.0,9.0,7.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,2014
Hawthorn,4.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,,2014
Geelong,6.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,,2014
Fremantle,1.0,2.0,7.0,5.0,5.0,8.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,2014
Port Adelaide,7.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2014
North Melbourne,16.0,10.0,10.0,6.0,7.0,5.0,8.0,10.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,2014
Essendon,3.0,7.0,4.0,7.0,10.0,12.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,,2014
Richmond,10.0,9.0,12.0,14.0,11.0,13.0,13.0,15.0,16.0,13.0,13.0,13.0,15.0,16.0,13.0,12.0,12.0,12.0,12.0,12.0,9.0,8.0,8.0,,2014
West Coast,2.0,1.0,1.0,4.0,4.0,7.0,9.0,7.0,9.0,9.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,,2014
Adelaide,13.0,16.0,17.0,15.0,12.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,7.0,8.0,11.0,10.0,,2014
Collingwood,18.0,12.0,13.0,9.0,6.0,4.0,4.0,5.0,8.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,9.0,8.0,9.0,10.0,9.0,11.0,,2014
Gold Coast,9.0,11.0,8.0,11.0,8.0,6.0,5.0,6.0,5.0,3.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,11.0,12.0,12.0,,2014
Carlton,12.0,13.0,15.0,17.0,16.0,16.0,16.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,14.0,13.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,,2014
Western Bulldogs,17.0,17.0,14.0,10.0,15.0,15.0,15.0,12.0,12.0,14.0,14.0,14.0,13.0,13.0,12.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,,2014
Brisbane Lions,15.0,15.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,,2014
Greater Western Sydney,5.0,8.0,6.0,8.0,14.0,14.0,14.0,16.0,17.0,17.0,17.0,18.0,16.0,14.0,16.0,15.0,15.0,16.0,16.0,17.0,16.0,16.0,16.0,,2014
Melbourne,11.0,18.0,18.0,16.0,17.0,17.0,17.0,17.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,17.0,,2014
St Kilda,8.0,6.0,9.0,12.0,9.0,11.0,12.0,14.0,15.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,2014
Hawthorn,11.0,9.0,6.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2013
Geelong,8.0,7.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,,2013
Fremantle,5.0,4.0,7.0,9.0,7.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,,2013
Sydney,4.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,,2013
Richmond,9.0,6.0,4.0,6.0,6.0,9.0,7.0,7.0,10.0,7.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,,2013
Collingwood,6.0,5.0,8.0,7.0,8.0,7.0,8.0,8.0,11.0,8.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,,2013
Port Adelaide,1.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,9.0,11.0,11.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,,2013
Carlton,10.0,13.0,15.0,13.0,9.0,8.0,11.0,10.0,8.0,6.0,7.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,,2013
Essendon,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,7.0,7.0,7.0,9.0,,2013
North Melbourne,13.0,12.0,16.0,11.0,13.0,11.0,12.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0,11.0,10.0,,2013
Adelaide,16.0,10.0,11.0,8.0,10.0,12.0,9.0,9.0,7.0,9.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,13.0,12.0,13.0,12.0,11.0,,2013
Brisbane Lions,17.0,17.0,14.0,16.0,12.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,12.0,13.0,12.0,13.0,12.0,10.0,12.0,,2013
West Coast,14.0,15.0,10.0,12.0,15.0,10.0,10.0,11.0,6.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,13.0,13.0,,2013
Gold Coast,7.0,11.0,13.0,14.0,11.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,2013
Western Bulldogs,2.0,8.0,12.0,15.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,14.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,2013
St Kilda,12.0,14.0,9.0,10.0,14.0,15.0,14.0,15.0,15.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,2013
Melbourne,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,2013
Greater Western Sydney,15.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,2013
Hawthorn,6.0,8.0,7.0,9.0,11.0,11.0,9.0,6.0,8.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,,2012
Adelaide,2.0,3.0,8.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,,2012
Sydney,1.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,2012
